Close,Timestamp,High,Low,Open
211,1440374400,236.99999909,201.45752417,228.4526468
219.99000003,1440460800,219.99000003,197.57400001,214.965
227.97999999,1440547200,227.99000003,216.15825722,219.99000003
219.99999999,1440633600,229.19941841,208.3,222.00000001
230.14,1440720000,233.99000003,212.183456,215.4287159
235,1440806400,235,220,232
215.025,1440892800,226.90000001,211.01100212,226.90000001
225.04000001,1440979200,226.9,211,215.00000001
223.94469998,1441065600,229.5,223.32478814,226.11789796
226.00000001,1441152000,232.99999999,222.28830581,226
231.00000001,1441238400,232.67213551,224.35971855,226.00000001
231.00000001,1441324800,231.00000001,225.00000001,225.00000001
233.00000001,1441411200,238.99000003,226.54264212,231.00000001
237.7529,1441497600,243.22733484,233.00000001,233.00000001
244.9,1441584000,245,236.5,241.4
239.90000002,1441670400,243.5,239.90000002,243.5
240.59999943,1441756800,243,236.5,242.99999999
243.83099999,1441843200,243.83099999,236.50000001,240.59999866
238.70000001,1441929600,255.00000001,236.37099997,236.60000033
240,1442016000,244.90709278,236.61000002,238.70000001
226.5,1442102400,237.60200001,226.5,237.60200001
228.50000008,1442188800,233.97779999,226.50000021,233.97779999
232.99999594,1442275200,232.9999994,228.50000285,228.50000286
230.00003006,1442361600,233.47357311,230.00003003,232.99999594
232.50000003,1442448000,235.68915619,231.47357312,231.47357312
238.26400001,1442534400,238.26400001,232.50000051,232.70000005
234.47,1442620800,235.8,231.47357311,233.50000101
234.47,1442707200,234.47,231.47357312,234.47
227.49998999,1442793600,233.00000001,227.16978664,233.00000001
226.516353,1442880000,232.49999989,225.91,227.49998999
228,1442966400,232.4999999,227.5413,227.5413
235,1443052800,235,228,230.30000001
238,1443139200,238.26400001,232.01000001,235.52
233.000001,1443225600,238.00000001,232.5,238
233.00050075,1443312000,237.09999999,233.000007,233.000007
243.19999998,1443398400,243.493875,232,237.09998269
242,1443484800,245.4999,234.68665,243.19999999
238.00000001,1443571200,245.4,233.000001,242.14
242.69999999,1443657600,242.69999999,236,236.00000001
240,1443744000,243.5403,236.20001,242.3
242.979,1443830400,242.999,237.99,241.67548782
242.969,1443916800,242.979,237.99,238.16725533
236.98,1444003200,242.969,236.97900001,238.8
242.25,1444089600,249.76639999,236.98000001,238.0878687
243.00000001,1444176000,252.38676,241,242.25
242.30000243,1444262400,248.49999932,242.06,248.49999932
244.00000001,1444348800,246.89,242,246.89
243.1,1444435200,246.5,242.40020005,246.4
248.28210592,1444521600,248.28210623,243.1,243.1
244.6001001,1444608000,248.37944518,243.5092607,243.5092607
248.47210201,1444694400,250.39999882,244.6001001,244.6001001
252.29997287,1444780800,257.26208372,247.15829748,250.38777646
259.2432,1444867200,262.66813468,251.02606982,253.99999995
266.08098303,1444953600,266.08098303,254.00954551,259.50329999
267.04218175,1445040000,277.6389,261,266
269.99999999,1445126400,272.99999996,261,272.99999996
263.00000023,1445212800,269.99999999,261.50000001,261.50000001
275.49999,1445299200,275.5,262.00000001,267.44400081
266.30000001,1445385600,275.49999,261.9246,275.49999
276.14699996,1445472000,276.14700001,261,266.30000001
277.86212966,1445558400,284.29949888,270.31000003,270.31000003
280.00001,1445644800,283.92550526,278.49899517,278.49899517
287.85000016,1445731200,298.73999999,281.60227631,283.05999998
281.49999999,1445817600,291.01634988,279,287.85000018
297.49999395,1445904000,298.5,281,281.59999999
295.19768986,1445990400,307.75,281.01633477,297.69996256
312.59999894,1446076800,314.6753,293.31363296,295.5
326.87000009,1446163200,326.87000009,307.1,312.59999894
310.00000001,1446249600,332,306.45969915,326.8700001
326.74446166,1446336000,328.96200408,312.08011732,312.08011732
369.02958148,1446422400,370.02602501,320.366901,326.744471
400,1446508800,424,355.87499999,366.1
393,1446595200,477,359.48965566,399.99
383.09999996,1446681600,416.05800073,366.71097058,393
379,1446768000,398.88888888,350,382.50000001
390.99999994,1446854400,397.3333333,367.30009891,367.30009891
371.00000001,1446940800,389.35,369,384.500001
384.55,1447027200,387.9099995,362.99999999,371.00006667
335.20014911,1447113600,385.63229092,327.70000002,382.51554957
313.13,1447200000,341,303.33311004,335.20014905
339,1447286400,343.29180826,308.99607256,313.13
339.01194,1447372800,343.10639329,325.00000001,339
340.19,1447459200,340.19,332.2,336.99999899
318,1447545600,341.1,318,340.18999999
332,1447632000,336.00400001,318,318
334.01010403,1447718400,340,331,334.99999222
336.31001221,1447804800,341.77699995,334,338.49998933
328.999999,1447891200,337.89998789,320.10000001,336.31001223
327.50000001,1447977600,332.95,317.99999999,332.949999
328.79999999,1448064000,335.34000003,323,323.49999999
331.9,1448150400,334.68999999,323.1,325.5000414
325.47,1448236800,334.69,324.00004591,328.75
321,1448323200,329.99,321,329.99
326.99,1448409600,329,318.10010001,327.9998999
355.10127219,1448496000,366.95586085,326.99047556,328.989999
361.99995456,1448582400,378.888888,349.00000605,355.10130018
356,1448668800,364,354.00000001,361.99995456
375.00000004,1448755200,378.888888,356.50014836,357.100001
379.49999999,1448841600,385.00000001,371.99999999,375
364,1448928000,379.39999999,355,379.39999999
365.65493181,1449014400,366.36659,353.525125,356.450002
366.99999998,1449100800,375,356.00000801,365.46090835
365.51,1449187200,366,355.12278158,364.99999941
380.45053057,1449273600,392.265,360.12706417,365.49
390.30007076,1449360000,400.00000001,380.99663008,389.99999944
394.20032806,1449446400,403.00000001,388.00009037,397.99999989
418.5542986,1449532800,418.5542986,392.20000001,398.5
421.9999999,1449619200,428.99999997,404.48417735,413.00000018
425.17679999,1449705600,425.17679999,410.000021,420.51425536
452.70000009,1449792000,456.65800001,418.63267478,420.00000027
430.15422975,1449878400,468,405.66284539,445.79596711
433.00000202,1449964800,444.99999993,423.25,427.86722266
443.09999999,1450051200,449.49498,431.00007782,433.04088808
465.15045061,1450137600,465.15045069,442.99999993,443.00000009
453.000001,1450224000,468.49999999,445,465.15045049
453.500001,1450310400,457.9999,451,455.99999999
460,1450396800,465,453.000001,453.500001
460,1450483200,466.929,452.130001,458.000001
438.10101011,1450569600,460,431.01,456.81643452
439.7999,1450656000,443.0999999,426,443.09925
434.84381765,1450742400,439.83131689,432.2589971,432.2589971
445.67999996,1450828800,446,434,434.00000001
453.06292574,1450915200,464.88566999,441.52188074,445.67999
455,1451001600,459.39999999,450,453.0630166
418.53822857,1451088000,460.999999,409.000166,455.99999989
421.24000002,1451174400,429.68242294,412.32,420.95017872
423.59556697,1451260800,431.69037499,417.00000001,423.08
427.00000001,1451347200,437.0783412,421.1,421.1
425.12,1451433600,434.07,420,433.2
430.57315002,1451520000,430.57315002,417,424.27
434.98999999,1451606400,435,428.26000202,428.26000202
436.9499,1451692800,438.13999999,430.5,434.98999999
428.14,1451779200,435.61499822,426.45308869,432.31
432.00001111,1451865600,435.999999,427.29114042,427.29114142
430.37677352,1451952000,435.999999,429.5695,430.14021095
427.50002018,1452038400,434.99999973,427.290001,430.17047263
458.89700208,1452124800,458.89700208,427.50057343,427.50057343
453.05,1452211200,468,446.99999999,451.10001118
447.420001,1452297600,457.3980537,447.00037915,453.05
450.72851988,1452384000,453.02999998,440.02000706,447.420001
447,1452470400,455.66999999,444.89,448.77
434.4962313,1452556800,448.62,434.07784163,448.08324386
433.68500408,1452643200,439.69999998,424.001,433.4962313
429.49640246,1452729600,434.99999999,424,428.53476603
362,1452816000,429.49640246,358.000006,428.88954001
386.4618669,1452902400,387.99999999,333.6,357
370,1452988800,394.1,369.71695546,386.46186691
388,1453075200,399.94999999,367.11112952,371.44223035
378.50200171,1453161600,395,376.73464414,393.89998999
422.88270948,1453248000,422.88270948,377.4225,379.502007
406.0000001,1453334400,420.42999999,401.43089234,418.00000397
380.97271858,1453420800,413.26513434,375,405.0000003
389.94000001,1453507200,404.36071952,378.02890176,378.02890176
402.85787573,1453593600,407.91799999,378.80930001,385.00000003
391.17000081,1453680000,406.80087625,384.90950034,404.82937107
395.11999999,1453766400,399.65700001,384.90950034,390.26000002
396,1453852800,401.17609864,384.332,387.79
378.0000001,1453939200,391.19000101,374.68813274,391.19000101
376.8600002,1454025600,381.0000001,357.59046709,376.98
378.66999987,1454112000,380.5,371.2,378.94281121
367.33999995,1454198400,380.5,362.60000001,380.22999999
370.45,1454284800,380.09999995,360.5,367.33999991
368.6900001,1454371200,377.7777777,368.67145259,376.09
358.52,1454457600,373,351.8881965,368.81387894
389.59999999,1454544000,389.59999999,358.51,360.00002945
385.98899663,1454630400,397.97511686,380.3530589,385.7773098
377.63999823,1454716800,388.18962933,371,388.18962933
372.99999916,1454803200,381.67419373,368.99999823,376.96999674
369.65447893,1454889600,379.00999997,369.09999999,372.99999916
376.71518383,1454976000,380.49,369.65451242,373.21999972
382.97999999,1455062400,385,364.1000001,376.98829552
387.95,1455148800,388.254,371.00000001,382.98
385,1455235200,415.01869658,320,378.34879972
391.98999996,1455321600,397.99999998,380.31135223,384.31
404.88887998,1455408000,406.00000681,390.01050005,391.98999996
403.8416231,1455494400,408.7,397.59,398.00001134
408.00000009,1455580800,412.79999999,399.00000352,399.00000362
413.50000048,1455667200,426,399.55,411.49999999
418.10000823,1455753600,424.76999998,411,413.50000535
417.00000354,1455840000,424.8,413.00000001,420
436.5100001,1455926400,440,416.001,416.001
441.00000442,1456012800,445,420.48999982,436.99999009
440,1456099200,441.00000442,429.17,441.00000442
416.10000178,1456185600,440.00000001,413.42,440
409.45245,1456272000,425.09999896,405.99500043,416.10000178
422.999999,1456358400,425.70181751,384.02000001,409.453
432.48000001,1456444800,432.48000001,411.88900001,420
425.52,1456531200,434.99999,421.00100001,429.00000552
432.84999997,1456617600,439.44,380.99999,430
436.1,1456704000,441.30464888,431.55004679,431.55004679
434.00000001,1456790400,442.89999999,424.73000001,440
425.98623253,1456876800,438.9999999,422.13646503,432.3700057
417.24,1456963200,433.89,408.08999991,423.50910522
408.14999999,1457049600,437.4944444,393.33,422.499999
392,1457136000,410,378.88,400.40000001
407.00000002,1457222400,433,378.99,391.999
409.9,1457308800,420.02688172,401.7,407.00000002
410.40000001,1457395200,415.60594081,402.83042801,409.90000001
404.4,1457481600,415,401.00000003,410.40000001
416.60126,1457568000,419.9,402.25185002,404
421.1,1457654400,424.44475104,413.98,417.3
410.5,1457740800,422.06999999,406.57296965,421.09999999
410.79,1457827200,416.58836052,403,410.64106349
411.95000001,1457913600,420,385,403.88641349
413.49000459,1458000000,419.98956999,408.05,413.16000001
418.1,1458086400,419.9,409.48402084,413.49000459
418.30999999,1458172800,428.85247103,414.5,418.1
404.91999981,1458259200,421,395.00010001,418.30999999
404.25730345,1458345600,416.795,400,401.02100001
409.98,1458432000,415.71129614,404.26,409.22999976
404.36491835,1458518400,412.98,402.92,409.00000001
414.99458,1458604800,418.59410249,403.96155785,406.56757875
416.6,1458691200,423,413.67326001,414.99958
418.8,1458777600,423.81442871,414,416.6
416.71542144,1458864000,418.88,413.50108799,418.00000001
418.32335169,1458950400,420.59117429,413.93,415.47795858
424.0852,1459036800,428.99999996,415,415.271
425.39092016,1459123200,428.75209124,420,424.1252
416.965,1459209600,428.5,410,421.1000001
414.3,1459296000,420.499,410,416.965
417,1459382400,420.42259642,414.30000001,416.7734024
418.2,1459468800,420.04,416.0000001,416.0000001
421.56301498,1459555200,424,418.00000001,418.59
423.99899758,1459641600,424.5,419.91910001,419.91910001
420.50000777,1459728000,423.999,420.2,421.90816998
424.15999996,1459814400,425.887,420.20000007,422.80000782
422.49957852,1459900800,425.938118,420.55,424.15999995
423.99999994,1459987200,424.7050012,420.083,422.92250103
419.00010005,1460073600,426.5,418,421.96837823
420.5,1460160000,426.7,414.140001,419.001
419.71930424,1460246400,425,415.1500001,417.62721002
422.75262835,1460332800,424.77,419,419.71930424
424.89,1460419200,429.98,422.4,423.17538097
425,1460505600,427.5,423.24,426.5
427.17996899,1460592000,428.999,423.511,424.56576567
430.61709605,1460678400,437.30488611,424.81799693,427.1799692
430.85,1460764800,436.34562405,429.599999,430.61709605
428,1460851200,438.79118705,426,431.43100004
430.31052983,1460937600,432.8,427.2,428.81999999
437.93750001,1461024000,440.53415106,427.28621864,428.7
443.12202632,1461110400,448.54054299,434.15442601,437.93750002
450.79900002,1461196800,459.24500033,440.74000012,443.12202632
447.539519,1461283200,456.74703717,445.63418304,450.79900455
453.11,1461369600,454.82827541,446.62111001,449.28214327
460.90144101,1461456000,464.38504995,451,453.11
465,1461542400,474.06891535,456.55000001,460.90144101
467.75,1461628800,472.47999999,463.223,463.9
443.02499607,1461715200,469,443,467.75
451,1461801600,451.1,421.91,443.02499607
455.94999999,1461888000,484.484,445,451
445.68435605,1461974400,456.456,440.01,454.95450011
446.99655141,1462060800,455.2,442.0272721,445.68435605
445,1462147200,451.19999999,425.9,447.4470001
450.858,1462233600,450.9,440.2,445.00000446
449.48999999,1462320000,450.858,444.21390929,447.80000029
446.1200002,1462406400,451.89,444.54430455,445
461,1462492800,463.04787573,444.47999995,446.12000071
457.76002301,1462579200,461.9999,455.32799997,459.89000015
459,1462665600,463,455.41,457.76002301
463.226,1462752000,465.07029999,456.06,459
449.5,1462838400,464.8342,449.48999997,460.50000925
450.23617237,1462924800,455.71900601,449.48999997,449.5
454.44000449,1463011200,455.06,448.09,453.53999998
453.37281795,1463097600,457.98,450.13,454.44000904
455.63002825,1463184000,457.75,450,453.37281795
459.15690131,1463270400,463,454.26416333,455.63002825
453.97511699,1463356800,461.979999,450.9,458
450.71421308,1463443200,457.96737983,448.99999999,453.97511699
447.98,1463529600,456.69,443.80092386,453.5
434.36388823,1463616000,454.89813585,432.3333,448.13000001
436.00000437,1463702400,444.44444443,422.0071547,432.35
435.35569089,1463788800,440,418.17508636,436.00000874
434.17000002,1463875200,450,420,435.35569088
441.27,1463961600,444.97999999,430.00000001,434.17000002
447.93890015,1464048000,449,439.5000001,441.2700006
445.26100055,1464134400,453.35,444,446.99
452,1464220800,454.95834691,445,449.106
460.00000005,1464307200,477.85000015,450.76000448,452
489,1464393600,521,461,466.00811494
525.20000331,1464480000,551.00000005,480,491
534.5,1464566400,542.43419978,522.0149885,529.8419999
529.99999,1464652800,549,510.50000001,537.99999998
535.5,1464739200,541.99999999,517.28,529.9999999
536.8725,1464825600,539.83129126,531.78309789,534.4530179
565.06714367,1464912000,579,534.52000018,537
574.49999999,1464998400,592.17,560.00000003,565.1171004
577.59999985,1465084800,583.5,570,573
584.00999998,1465171200,586.01,574.06772283,577.01
576,1465257600,589,560.102,584.00999998
583.12345678,1465344000,583.12345678,569.1,578
579.96999999,1465430400,582.46999999,567.62649842,580.00003756
579.13,1465516800,579.99999999,573,576
597,1465603200,597,579.13,579.13
666.96500001,1465689600,683,594,597
693,1465776000,700.64880369,653.57765611,666.96500001
674,1465862400,698.9,585,691.99999999
691.999,1465948800,697.546,662.33,672.54241495
764,1466035200,774.767,690.50989865,691.999
747,1466121600,770.99999999,687.01,764
757.89000001,1466208000,788.899999,705,747.00000001
763.419,1466294400,775,741.019,757.89000001
728.99999999,1466380800,767,720.1,763.41899999
668.50015,1466467200,727.37099934,639.7,723
592.296,1466553600,700.68280717,580,667.909
634.67,1466640000,649,555.1,592.296
660,1466726400,687.48000001,630.50000012,634.67
663.45016787,1466812800,710.00000001,640.02000001,665
630,1466899200,671.86199999,616.3810001,668.693
656.66666666,1466985600,656.66666666,621.01,630
649.48524687,1467072000,661.19993856,638,656.66666666
637.5,1467158400,648.62251249,616.6,648.43799993
675.50000002,1467244800,683.22,633.00000001,637.34850013
677,1467331200,690.32099999,666.7459996,671
705,1467417600,707.06764424,674,674.89989999
657.28399283,1467504000,706.99,641.51,705
677.30000001,1467590400,681.99999999,635,661.00437
669.41998679,1467676800,681.99999999,660,681.79999999
677,1467763200,680.63300012,665.00300536,665.00300536
638.6,1467849600,680.6,594,676.07599998
667.00000001,1467936000,667.00000001,634.2,638.601
651.99999989,1468022400,669.65,623,665.001
648.53100024,1468108800,652,638,651.99999991
648.02000649,1468195200,664.48,645.0131,650
666.66666666,1468281600,678,645,648.02000649
657.24999998,1468368000,672.06099999,654,666.66666702
659.50978497,1468454400,669.9,651,655.24999998
665.96077199,1468540800,677.98,658,659.51
667.47426499,1468627200,672.8,659.95,668.39999987
685,1468713600,690,664.00000051,666.57426402
676.953,1468800000,686.68699479,668.325,685
676.49999989,1468886400,677.90999481,667.90000001,676.953
667.23788745,1468972800,677.41999477,661.55500001,676.33999481
663.98300519,1469059200,669.00298217,659.86262502,666.1200052
646.75499481,1469145600,670,641.30499564,664.01000519
656.6399948,1469232000,658.21735,644.1210053,647.595
664.49999833,1469318400,667.09096814,651,654
653,1469404800,664.99999999,650.37997536,664.99999999
655.08851717,1469491200,662.01070364,639.51,653
657.99999999,1469577600,661.000009,642,651.66600519
656.34100519,1469664000,659.5,654.00000013,656.30001
657.99001516,1469750400,661.94,653.56999481,658.1
656.42000519,1469836800,661.21999466,652.001,661.21999466
624.84499481,1469923200,656.74701,616.88400325,656.42000519
610.04999481,1470009600,630.04001521,602.07155041,621.11001143
531.60000008,1470096000,616.7439333,462.94999479,605.01000519
566.18900527,1470182400,590,511.073869,531.60000008
581.04100001,1470268800,595.34100603,566.22900523,566.22900523
574.75600001,1470355200,584.97999998,569.000031,581.04101016
582.53300002,1470441600,592.001,563.001,574.99999999
602.00004615,1470528000,625,584.86400001,586.31999465
597.99999899,1470614400,613.34653466,591.78361695,602.00005616
602.00001069,1470700800,625.29967988,586.0000005,597.99999898
594.68600519,1470787200,619,590.00000001,602.00001067
589.24000523,1470873600,605.51249999,585.03,597.88499477
